lat,long,city,country,state,suburb,city_ascii,iso2,iso3,capital,population,worldcities_id,data_source
40.717,46.417,Gəncə,Azerbaijan,Gəncə,,Ganca,AZ,AZE,admin,331400.0,1031197327,worldcities
40.983,47.867,Göyçay,Azerbaijan,Göyçay,,Goycay,AZ,AZE,admin,36200.0,1031227222,worldcities_small
40.617,47.15,Mingəçevir,Azerbaijan,Mingəçevir,,Mingacevir,AZ,AZE,admin,98800.0,1031509213,worldcities_small
40.65,47.75,Ağdaş,Azerbaijan,Ağdaş,,Agdas,AZ,AZE,admin,29600.0,1031916654,worldcities_small
40.533,48.933,Şamaxı,Azerbaijan,Şamaxı,,Samaxi,AZ,AZE,,24681.0,1031286384,worldcities_small
39.767,47.75,İmişli,Azerbaijan,İmişli,,Imisli,AZ,AZE,admin,31310.0,1031686599,worldcities_small
39.967,49.4,Ələt,Azerbaijan,Bakı,,Alat,AZ,AZE,,12600.0,1031947328,worldcities_small
39.4,49.25,Salyan,Azerbaijan,Salyan,,Salyan,AZ,AZE,admin,30396.0,1031301869,worldcities_small
38.75,48.817,Lənkəran,Azerbaijan,Lənkəran,,Lankaran,AZ,AZE,admin,51300.0,1031218031,worldcities_small
38.5,48.9,Astara,Azerbaijan,Astara,,Astara,AZ,AZE,admin,16800.0,1031376971,worldcities_small
41.415,19.721,Tirana,Albania,Tiranë,,Tirana,AL,ALB,primary,418495.0,1008162156,worldcities
40.783,43.833,Gyumri,Armenia,Shirak,,Gyumri,AM,ARG,admin,121976.0,1051341374,worldcities
40.533,44.383,Vanadzor,Armenia,Lorri,,Vanadzor,AM,ARG,admin,90525.0,1051691929,worldcities_small
40.817,44.5,Stepanavan,Armenia,Lorri,,Stepanavan,AM,ARG,,23782.0,1051221961,worldcities_small
40.867,45.15,Sevan,Armenia,Geghark’unik’,,Sevan,AM,ARG,,23200.0,1051586680,worldcities_small
40.133,44.05,Iğdır,Turkey,Iğdır,,Igdir,TR,TUR,admin,137613.0,1792813007,worldcities
40.483,44.75,Yerevan,Armenia,Yerevan,,Yerevan,AM,ARG,primary,1075800.0,1051074169,worldcities_small
40.35,45.133,Hrazdan,Armenia,Kotayk’,,Hrazdan,AM,ARG,admin,52808.0,1051566733,worldcities_small
39.533,46.017,Goris,Armenia,Syunik’,,Goris,AM,ARG,,20591.0,1051724931,worldcities_small
39.2,46.433,Kapan,Armenia,Syunik’,,Kapan,AM,ARG,admin,43190.0,1051527958,worldcities_small
40.567,45.0,Charentsavan,Armenia,Kotayk’,,Charentsavan,AM,ARG,,25039.0,1051304472,worldcities_small
-8.85,13.233,Luanda,Angola,Luanda,,Luanda,AO,AGO,primary,8417000.0,1024949724,worldcities
-14.933,13.567,Lubango,Angola,Huíla,,Lubango,AO,AGO,admin,776249.0,1024669127,worldcities
-14.331,-170.714,Pago Pago,American Samoa,,,Pago Pago,AS,ASM,primary,12576.0,1016976740,worldcities_small
-30.267,-57.65,Bella Unión,Uruguay,Artigas,,Bella Union,UY,URY,,19100.0,1858883224,worldcities_small
-22.1,-65.6,Villazón,Bolivia,Potosí,,Villazon,BO,BOL,,28045.0,1068163517,worldcities_small
-27.767,-64.3,Santiago del Estero,Argentina,Santiago del Estero,,Santiago del Estero,AR,ARG,admin,252192.0,1032492280,worldcities
-27.45,-59.05,Resistencia,Argentina,Chaco,,Resistencia,AR,ARG,admin,291720.0,1032720891,worldcities
-29.383,-66.817,La Rioja,Argentina,La Rioja,,La Rioja,AR,ARG,admin,180995.0,1032864257,worldcities
-29.883,-61.95,Ceres,Argentina,Santa Fe,,Ceres,AR,ARG,,14499.0,1032855291,worldcities_small
-29.183,-59.7,Reconquista,Argentina,Santa Fe,,Reconquista,AR,ARG,minor,70549.0,1032927391,worldcities_small
-31.317,-64.217,Córdoba,Argentina,Córdoba,,Cordoba,AR,ARG,admin,1329604.0,1032803249,worldcities
-31.783,-60.483,Paraná,Argentina,Entre Ríos,,Parana,AR,ARG,admin,247863.0,1032266693,worldcities
-32.833,-68.783,Godoy Cruz,Argentina,Mendoza,,Godoy Cruz,AR,ARG,minor,191299.0,1032263200,worldcities
-34.133,-63.367,Laboulaye,Argentina,Córdoba,,Laboulaye,AR,ARG,minor,20534.0,1032996866,worldcities_small
-36.567,-64.266,Santa Rosa,Argentina,La Pampa,,Santa Rosa,AR,ARG,admin,103860.0,1032215828,worldcities
-37.933,-57.583,Mar del Plata,Argentina,Buenos Aires,,Mar del Plata,AR,ARG,minor,593337.0,1032456103,worldcities
-38.95,-68.133,Neuquén,Argentina,Neuquén,,Neuquen,AR,ARG,admin,231198.0,1032525768,worldcities
-42.933,-71.15,Esquel,Argentina,"Buenos Aires, Ciudad Autónoma de",,Esquel,AR,ARG,minor,36687.0,1032489067,worldcities_small
-43.2,-65.266,Trelew,Argentina,Chubut,,Trelew,AR,ARG,,93442.0,1032440034,worldcities_small
-45.783,-67.5,Comodoro Rivadavia,Argentina,Chubut,,Comodoro Rivadavia,AR,ARG,minor,730266.0,1032042035,worldcities
-51.617,-69.283,Río Gallegos,Argentina,Santa Cruz,,Rio Gallegos,AR,ARG,admin,95796.0,1032471024,worldcities_small
-24.85,-65.483,Salta,Argentina,Salta,,Salta,AR,ARG,admin,535303.0,1032926124,worldcities
-34.583,-58.483,Buenos Aires,Argentina,"Buenos Aires, Ciudad Autónoma de",,Buenos Aires,AR,ARG,primary,16157000.0,1032717330,worldcities
-38.733,-62.167,Bahía Blanca,Argentina,Buenos Aires,,Bahia Blanca,AR,ARG,minor,299101.0,1032795766,worldcities
-23.153,-64.329,San Ramón de la Nueva Orán,Argentina,Salta,,San Ramon de la Nueva Oran,AR,ARG,minor,74059.0,1032020207,worldcities_small
-22.62,-63.794,Tartagal,Argentina,Salta,,Tartagal,AR,ARG,minor,60819.0,1032317391,worldcities_small
-24.393,-65.098,San Salvador de Jujuy,Argentina,Jujuy,,San Salvador de Jujuy,AR,ARG,admin,321789.0,1032815808,worldcities_small
-26.841,-65.105,San Miguel de Tucumán,Argentina,Tucumán,,San Miguel de Tucuman,AR,ARG,admin,605767.0,1032233996,worldcities
-26.733,-60.483,Presidencia Roque Sáenz Peña,Argentina,Chaco,,Presidencia Roque Saenz Pena,AR,ARG,minor,81879.0,1032464495,worldcities_small
-26.213,-58.228,Formosa,Argentina,Formosa,,Formosa,AR,ARG,admin,222226.0,1032802536,worldcities
-27.446,-58.762,Corrientes,Argentina,Corrientes,,Corrientes,AR,ARG,admin,352646.0,1032173097,worldcities
-27.386,-55.971,Posadas,Argentina,Misiones,,Posadas,AR,ARG,admin,275988.0,1032970696,worldcities
-28.596,-65.752,Catamarca,Argentina,Catamarca,,Catamarca,AR,ARG,admin,159139.0,1032260908,worldcities
-29.9,-63.683,Villa de María,Argentina,Córdoba,Norte,,AR,,,,,nominatim
-29.689,-57.152,Uruguaiana,Brazil,Rio Grande do Sul,,Uruguaiana,BR,BRA,,126866.0,1076680267,worldcities
-31.571,-68.418,San Juan,Argentina,San Juan,,San Juan,AR,ARG,admin,471389.0,1032869625,worldcities
-30.367,-66.283,Chamical,Argentina,La Rioja,,Chamical,AR,ARG,minor,8989.0,1032026963,worldcities_small
-31.945,-65.146,Mina Clavero,Argentina,Córdoba,,Mina Clavero,AR,ARG,,8487.0,1032241641,worldcities_small
-31.667,-63.883,Río Segundo,Argentina,Córdoba,,Rio Segundo,AR,ARG,,19713.0,1032477999,worldcities_small
-31.297,-57.997,Concordia,Argentina,Entre Ríos,,Concordia,AR,ARG,minor,149450.0,1032923957,worldcities
-33.083,-68.417,San Martín,Argentina,Mendoza,,San Martin,AR,ARG,minor,117399.0,1032297325,worldcities
-33.273,-66.356,San Luis,Argentina,San Luis,,San Luis,AR,ARG,admin,169947.0,1032547434,worldcities
-33.73,-65.387,Villa Mercedes,Argentina,San Luis,,Villa Mercedes,AR,ARG,minor,111391.0,1032858021,worldcities
-33.085,-64.261,Río Cuarto,Argentina,Córdoba,,Rio Cuarto,AR,ARG,minor,158298.0,1032552145,worldcities
-32.684,-62.158,Marcos Juárez,Argentina,Córdoba,,Marcos Juarez,AR,ARG,minor,27004.0,1032677394,worldcities_small
-32.904,-60.785,Rosario,Argentina,Santa Fe,,Rosario,AR,ARG,minor,1193605.0,1032770677,worldcities
-33.01,-58.613,Gualeguaychú,Argentina,Entre Ríos,,Gualeguaychu,AR,ARG,minor,109461.0,1032523704,worldcities
-35.494,-69.574,Malargüe,Argentina,Mendoza,,Malargue,AR,ARG,minor,11847.0,1032824937,worldcities_small
-34.588,-68.403,San Rafael,Argentina,Mendoza,,San Rafael,AR,ARG,minor,107997.0,1032221516,worldcities
-35.696,-63.758,General Pico,Argentina,La Pampa,,General Pico,AR,ARG,minor,57029.0,1032081531,worldcities_small
-34.546,-60.931,Junín,Argentina,Buenos Aires,,Junin,AR,ARG,minor,85007.0,1032976047,worldcities_small
-34.822,-58.536,Lanús,Argentina,Buenos Aires,,Lanus,AR,ARG,minor,459263.0,1032009573,worldcities
-34.559,-58.416,San Justo,Argentina,Buenos Aires,,San Justo,AR,ARG,minor,136604.0,1032899295,worldcities
-34.972,-57.895,La Plata,Argentina,Buenos Aires,,La Plata,AR,ARG,admin,193144.0,1032403831,worldcities
-36.833,-59.883,Azul,Argentina,Buenos Aires,,Azul,AR,ARG,minor,55728.0,1032652005,worldcities_small
-37.237,-59.228,Tandil,Argentina,Buenos Aires,,Tandil,AR,ARG,minor,116917.0,1032075057,worldcities
-36.35,-57.733,Dolores,Argentina,Buenos Aires,,Dolores,AR,ARG,minor,25940.0,1032650497,worldcities_small
-38.387,-60.33,Tres Arroyos,Argentina,Buenos Aires,,Tres Arroyos,AR,ARG,minor,47136.0,1032291724,worldcities_small
-41.151,-71.158,San Carlos de Bariloche,Argentina,Río Negro,,San Carlos de Bariloche,AR,ARG,minor,112887.0,1032111842,worldcities
-41.25,-68.733,,,,,,,,,,,failed
-40.783,-65.1,San Antonio Oeste,Argentina,Río Negro,,San Antonio Oeste,AR,ARG,minor,16265.0,1032154473,worldcities_small
-40.869,-63.0,Viedma,Argentina,Río Negro,,Viedma,AR,ARG,admin,59122.0,1032613063,worldcities_small
-41.943,-71.532,El Maitén,Argentina,"Buenos Aires, Ciudad Autónoma de",,El Maiten,AR,ARG,,4011.0,1032286116,worldcities_small
-46.517,-71.017,Perito Moreno,Argentina,Santa Cruz,,Perito Moreno,AR,ARG,minor,4617.0,1032891854,worldcities_small
-50.267,-72.05,El Calafate,Argentina,Santa Cruz,,El Calafate,AR,ARG,minor,21132.0,1032210475,worldcities_small
-49.307,-67.803,San Julián,Argentina,Santa Cruz,,San Julian,AR,ARG,minor,7894.0,1032464702,worldcities_small
-53.778,-67.749,Río Grande,Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",,Rio Grande,AR,ARG,minor,31095.0,1032824067,worldcities_small
-54.843,-68.296,Ushuaia,Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",,Ushuaia,AR,ARG,admin,56956.0,1032847885,worldcities_small
-16.288,149.965,,,,,,,,,,,failed
-31.542,159.079,Lord Howe Island,Australia,New South Wales,,,AU,,,,,nominatim
-54.499,158.937,,,,,,,,,,,failed
-15.51,128.15,Wyndham,Australia,Western Australia,,Wyndham,AU,AUS,,780.0,1036474435,worldcities_small
-13.754,126.148,,,,,,,,,,,failed
-14.788,126.496,,,,,,,,,,,failed
-15.487,128.125,Wyndham,Australia,Western Australia,Shire Of Wyndham-East Kimberley,,AU,,,,,nominatim
-15.908,128.129,,,,,,,,,,,failed
-16.418,126.102,,,,,,,,,,,failed
-14.296,126.645,Kalumburu,Australia,Western Australia,Shire Of Wyndham-East Kimberley,,AU,,,,,nominatim
-14.09,126.387,,,,,,,,,,,failed
-16.009,127.981,,,,,,,,,,,failed
-15.957,127.063,,,,,,,,,,,failed
-15.38,126.311,,,,,,,,,,,failed
-15.702,126.379,,,,,,,,,,,failed
-15.639,128.08,Wyndham,Australia,Western Australia,Shire Of Wyndham-East Kimberley,,AU,,,,,nominatim
-15.723,127.83,,,,,,,,,,,failed
-13.96,127.196,,,,,,,,,,,failed
-15.597,128.278,Wyndham,Australia,Western Australia,Shire Of Wyndham-East Kimberley,,AU,,,,,nominatim
-16.504,128.917,,,,,,,,,,,failed
-15.486,128.534,Kununurra,Australia,Western Australia,,Kununurra,AU,AUS,,5308.0,1036556231,worldcities_small
-16.42,126.441,Ngallagunda,Australia,Western Australia,Shire Of Wyndham-East Kimberley,,AU,,,,,nominatim
-18.229,127.664,Halls Creek,Australia,Western Australia,,Halls Creek,AU,AUS,,1546.0,1036444511,worldcities_small
-18.387,126.989,,,,,,,,,,,failed
-18.016,126.303,,,,,,,,,,,failed
-18.031,128.894,,,,,,,,,,,failed
-18.596,127.642,Billiluna,Australia,Western Australia,Shire of Halls Creek,,AU,,,,,nominatim
-19.162,128.163,,,,,,,,,,,failed
-17.296,126.915,,,,,,,,,,,failed
-17.016,128.218,Warmun,Australia,Western Australia,Shire of Halls Creek,,AU,,,,,nominatim
-17.392,126.231,,,,,,,,,,,failed
-18.337,126.124,,,,,,,,,,,failed
-16.112,128.741,Lake Argyle,Australia,Western Australia,Shire Of Wyndham-East Kimberley,,AU,,,,,nominatim
-17.263,127.462,,,,,,,,,,,failed
-18.297,128.442,,,,,,,,,,,failed
-18.195,127.815,,,,,,,,,,,failed
-17.784,127.685,,,,,,,,,,,failed
-17.613,126.744,,,,,,,,,,,failed
-15.781,128.71,Kununurra,Australia,Western Australia,Shire Of Wyndham-East Kimberley,,AU,,,,,nominatim
-16.04,128.415,,,,,,,,,,,failed
-19.235,127.769,,,,,,,,,,,failed
-16.638,128.452,Argyle Village,Australia,Western Australia,Shire Of Wyndham-East Kimberley,,AU,,,,,nominatim
-15.982,128.999,,,,,,,,,,,failed
-16.443,127.784,,,,,,,,,,,failed
-17.277,122.571,,,,,,,,,,,failed
-17.948,122.235,Broome,Australia,Western Australia,,Broome,AU,AUS,,14445.0,1036047905,worldcities_small
-17.928,124.811,,,,,,,,,,,failed
-18.355,125.303,,,,,,,,,,,failed
-17.39,124.358,,,,,,,,,,,failed
-18.291,125.587,,,,,,,,,,,failed
-17.052,125.705,,,,,,,,,,,failed
-18.122,124.269,,,,,,,,,,,failed
-17.331,124.817,,,,,,,,,,,failed
-18.5,124.399,,,,,,,,,,,failed
-17.946,123.738,,,,,,,,,,,failed
-17.615,123.648,,,,,,,,,,,failed
-18.139,125.776,,,,,,,,,,,failed
-19.254,121.486,,,,,,,,,,,failed
-18.684,121.78,Bidyadanga,Australia,Western Australia,Shire Of Broome,,AU,,,,,nominatim
-17.371,123.661,Derby,Australia,Western Australia,Shire Of Derby-West Kimberley,,AU,,,,,nominatim
-17.747,124.528,,,,,,,,,,,failed
-17.99,124.192,,,,,,,,,,,failed
-17.692,122.713,,,,,,,,,,,failed
-18.916,125.526,,,,,,,,,,,failed
-16.737,125.909,Kupungarri,Australia,Western Australia,Shire Of Derby-West Kimberley,,AU,,,,,nominatim
-16.451,123.009,Ardyaloon,Australia,Western Australia,Shire Of Broome,,AU,,,,,nominatim
-19.086,121.676,,,,,,,,,,,failed
-16.715,125.459,,,,,,,,,,,failed
-18.518,121.807,,,,,,,,,,,failed
-18.508,123.456,,,,,,,,,,,failed
-16.687,123.838,,,,,,,,,,,failed
-17.312,123.636,Derby,Australia,Western Australia,Karmulinunga,,AU,,,,,nominatim
-17.574,123.822,,,,,,,,,,,failed
-17.344,123.678,Derby,Australia,Western Australia,Shire Of Derby-West Kimberley,,AU,,,,,nominatim
-17.728,123.655,,,,,,,,,,,failed
-18.838,126.525,,,,,,,,,,,failed
-17.798,124.077,,,,,,,,,,,failed
-18.181,125.562,Fitzroy Crossing,Australia,Western Australia,Shire Of Derby-West Kimberley,,AU,,,,,nominatim
-17.055,125.711,,,,,,,,,,,failed
-17.95,124.265,,,,,,,,,,,failed
-18.113,125.343,,,,,,,,,,,failed
-20.926,120.208,Marble Bar,Australia,Western Australia,Shire of East Pilbara,,AU,,,,,nominatim
-22.183,119.935,Nullagine,Australia,Western Australia,Shire of East Pilbara,,AU,,,,,nominatim
-20.639,119.243,Marble Bar,Australia,Western Australia,Shire of East Pilbara,,AU,,,,,nominatim
-20.176,119.191,,,,,,,,,,,failed
-21.722,119.399,Nullagine,Australia,Western Australia,Shire of East Pilbara,,AU,,,,,nominatim
-20.787,118.597,Port Hedland,Australia,Western Australia,,Port Hedland,AU,AUS,,14320.0,1036509606,worldcities_small
-19.742,120.844,,,,,,,,,,,failed
-20.633,120.054,Marble Bar,Australia,Western Australia,Shire of East Pilbara,,AU,,,,,nominatim
-22.291,120.176,Nullagine,Australia,Western Australia,Shire of East Pilbara,,AU,,,,,nominatim
-20.108,119.581,,,,,,,,,,,failed
-20.372,118.632,Port Hedland,Australia,Western Australia,Town Of Port Hedland,,AU,,,,,nominatim
-21.056,117.444,Roebourne,Australia,Western Australia,,Roebourne,AU,AUS,,981.0,1036752479,worldcities_small
-20.468,119.056,,,,,,,,,,,failed
-20.748,118.817,Marble Bar,Australia,Western Australia,Town Of Port Hedland,,AU,,,,,nominatim
-20.947,117.373,,,,,,,,,,,failed
-20.85,120.695,Marble Bar,Australia,Western Australia,Shire of East Pilbara,,AU,,,,,nominatim
-20.674,120.204,Marble Bar,Australia,Western Australia,Shire of East Pilbara,,AU,,,,,nominatim
-19.779,120.642,,,,,,,,,,,failed
-20.71,116.774,Karratha,Australia,Western Australia,,Karratha,AU,AUS,,16708.0,1036951388,worldcities_small
-20.896,117.645,,,,,,,,,,,failed
-20.759,117.158,Roebourne,Australia,Western Australia,City Of Karratha,,AU,,,,,nominatim
-21.293,120.466,Marble Bar,Australia,Western Australia,Shire of East Pilbara,,AU,,,,,nominatim
-21.176,119.75,Marble Bar,Australia,Western Australia,Shire of East Pilbara,,AU,,,,,nominatim
-21.805,117.806,,,,,,,,,,,failed
-22.912,116.29,,,,,,,,,,,failed
-22.241,114.097,Exmouth,Australia,Western Australia,,Exmouth,AU,AUS,,2486.0,1036006022,worldcities_small
-21.191,115.98,,,,,,,,,,,failed
-22.633,119.408,Newman,Australia,Western Australia,Shire of East Pilbara,,AU,,,,,nominatim
-21.996,115.046,Onslow,Australia,Western Australia,,Onslow,AU,AUS,,857.0,1036255184,worldcities_small
-21.787,117.865,,,,,,,,,,,failed
-21.669,115.109,Onslow,Australia,Western Australia,Shire Of Ashburton,,AU,,,,,nominatim
-21.975,116.065,Pannawonica,Australia,Western Australia,,Pannawonica,AU,AUS,,695.0,1036914573,worldcities_small
-22.242,118.336,,,,,,,,,,,failed
-21.677,116.393,,,,,,,,,,,failed
-22.456,116.051,,,,,,,,,,,failed
-22.937,115.982,,,,,,,,,,,failed
-21.159,116.12,,,,,,,,,,,failed
-21.93,114.126,Exmouth,Australia,Western Australia,Shire Of Exmouth,,AU,,,,,nominatim
-20.728,116.748,Karratha,Australia,Western Australia,City Of Karratha,,AU,,,,,nominatim
-22.782,115.371,,,,,,,,,,,failed
-21.639,116.331,Pannawonica,Australia,Western Australia,Shire Of Ashburton,,AU,,,,,nominatim
-21.357,115.821,,,,,,,,,,,failed
-21.344,115.936,,,,,,,,,,,failed
-21.884,118.222,,,,,,,,,,,failed
-21.767,114.821,,,,,,,,,,,failed
-21.054,116.258,,,,,,,,,,,failed
-22.885,117.446,Tom Price,Australia,Western Australia,,Tom Price,AU,AUS,,3005.0,1036464109,worldcities_small
-21.248,116.073,,,,,,,,,,,failed
-20.875,115.406,,,,,,,,,,,failed
-22.937,116.973,,,,,,,,,,,failed
-25.042,115.309,Gascoyne Junction,Australia,Western Australia,Shire Of Upper Gascoyne,,AU,,,,,nominatim
-24.652,113.694,Carnarvon,Australia,Western Australia,,Carnarvon,AU,AUS,,4426.0,1036344209,worldcities_small
-25.048,114.029,,,,,,,,,,,failed
-25.611,115.462,,,,,,,,,,,failed
-24.888,113.67,Carnarvon,Australia,Western Australia,Shire Of Carnarvon,,AU,,,,,nominatim
